Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
295665.0,Macbook Pro Laptop,1.0,1700.0,12/30/19 00:01,"136 Church St, New York City, NY 10001",December
295666.0,LG Washing Machine,1.0,600.0,12/29/19 07:03,"562 2nd St, New York City, NY 10001",December
295667.0,USB-C Charging Cable,1.0,11.95,12/12/19 18:21,"277 Main St, New York City, NY 10001",December
295668.0,27in FHD Monitor,1.0,149.99,12/22/19 15:13,"410 6th St, San Francisco, CA 94016",December
295669.0,USB-C Charging Cable,1.0,11.95,12/18/19 12:38,"43 Hill St, Atlanta, GA 30301",December
295670.0,AA Batteries (4-pack),1.0,3.84,12/31/19 22:58,"200 Jefferson St, New York City, NY 10001",December
295671.0,USB-C Charging Cable,1.0,11.95,12/16/19 15:10,"928 12th St, Portland, OR 97035",December
295672.0,USB-C Charging Cable,2.0,11.95,12/13/19 09:29,"813 Hickory St, Dallas, TX 75001",December
295673.0,Bose SoundSport Headphones,1.0,99.99,12/15/19 23:26,"718 Wilson St, Dallas, TX 75001",December
295674.0,AAA Batteries (4-pack),4.0,2.99,12/28/19 11:51,"77 7th St, Dallas, TX 75001",December
295675.0,USB-C Charging Cable,2.0,11.95,12/13/19 13:52,"594 1st St, San Francisco, CA 94016",December
295676.0,ThinkPad Laptop,1.0,999.99,12/28/19 17:19,"410 Lincoln St, Los Angeles, CA 90001",December
295677.0,AA Batteries (4-pack),2.0,3.84,12/20/19 19:19,"866 Pine St, Boston, MA 02215",December
295678.0,AAA Batteries (4-pack),2.0,2.99,12/06/19 09:38,"187 Lincoln St, Dallas, TX 75001",December
295679.0,USB-C Charging Cable,1.0,11.95,12/25/19 09:39,"902 2nd St, Dallas, TX 75001",December
295680.0,Lightning Charging Cable,1.0,14.95,12/01/19 14:30,"338 Main St, Austin, TX 73301",December
295681.0,Google Phone,1.0,600.0,12/25/19 12:37,"79 Elm St, Boston, MA 02215",December
295681.0,USB-C Charging Cable,1.0,11.95,12/25/19 12:37,"79 Elm St, Boston, MA 02215",December
